Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BANF,"Bancfirst Corp",109,1.45,+1.35%,107.28,109.39,107.28,66300,2022-08-05
BANR,"Banner Corp",60.93,0.73,+1.21%,60.16,61.14,60.16,130200,2022-08-05
BATRK,"Liberty Braves CS C",27.53,-0.3,-1.08%,27.45,27.79,26.99,559900,2022-08-05
BBIO,"Bridgebio Pharma Inc",11.19,1.21,+12.12%,9.67,11.22,9.35,3867100,2022-08-05
BCBP,"Bcb Bancorp Inc",19.48,0.11,+0.57%,19.36,19.57,19.31,32200,2022-08-05
BCPC,"Balchem Cp",127.51,0.76,+0.60%,126.19,127.68,125.31,96000,2022-08-05
BCRX,"Biocryst Pharma Inc",14.05,0.31,+2.26%,12.93,14.32,12.88,6071500,2022-08-05
BDTX,"Black Diamond Therapeutics Inc",3.73,0.23,+6.57%,3.5,3.74,3.47,223200,2022-08-05
BEAM,"Beam Therapeutics Inc",63.43,0.55,+0.87%,60.56,63.91,58.86,1112000,2022-08-05
BECN,"Beacon Roofing Suppl",59.59,-2.14,-3.47%,60.18,60.3,58.06,706200,2022-08-05
BGNE,"Beigene Ltd ADR",194.47,3.39,+1.77%,185.88,199.16,183.82,225600,2022-08-05
BHF,"Brighthouse Financial Inc",45.13,2.63,+6.19%,48.73,48.73,44.8,1141000,2022-08-05
BIDU,"Baidu Inc ADR",137.82,-2.25,-1.61%,136.29,138.43,135.51,1154800,2022-08-05
BIGC,"Bigcommerce Holdings Inc",18.82,0.47,+2.56%,17.5,19.42,17.26,1107500,2022-08-05
