Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
MTSR,"Metsera Inc",29.81,-1.84,-5.81%,31.64,31.8,29.14,779200,2025-02-24
MTTR,"Matterport Inc",5.39,0.05,+0.94%,5.34,5.39,5.33,8222400,2025-02-24
MU,"Micron Technology",95.41,-3.43,-3.47%,100.21,100.7,95.28,14883700,2025-02-24
MYGN,"Myriad Genetics Inc",13.78,-0.4,-2.82%,14.16,14.73,13.74,1396600,2025-02-24
MYRG,"MYR Group Inc",118.55,-1.95,-1.62%,122.24,122.24,117.22,291800,2025-02-24
NAMS,"Newamsterdam Pharma Company N.V.",17.53,-1.04,-5.60%,18.55,18.83,17.52,713300,2025-02-24
NAVI,"Navient Corp",13.99,-0.03,-0.21%,14.07,14.13,13.94,722800,2025-02-24
NBIX,"Neurocrine Bioscienc",119.11,-1.58,-1.31%,120.53,120.8,118.66,1356100,2025-02-24
NBTB,"NBT Bancorp Inc",46.84,-0.03,-0.06%,47.11,47.37,46.65,160000,2025-02-24
NCNO,"Ncino Inc",31.42,-0.64,-2.00%,32.01,32.23,30.97,1112700,2025-02-24
NDAQ,"Nasdaq Inc",79.94,-1.13,-1.39%,81.58,81.77,79.72,2342300,2025-02-24
NDSN,"Nordson Corp",212.8,-2.64,-1.23%,214.26,214.55,207.4,392900,2025-02-24
NEGG,"Newegg Commerce Inc",0.4272,-0.0251,-5.55%,0.455,0.455,0.419,1220100,2025-02-24
NEO,"Neogenomics Inc",11.17,0.07,+0.63%,11.15,11.5,10.88,1554800,2025-02-24
NEOG,"Neogen Corp",10.42,0.38,+3.78%,10.04,10.49,9.85,1741400,2025-02-24
NEXT,"Nextdecade Corp",7.77,-0.09,-1.15%,7.86,7.99,7.51,1038800,2025-02-24
NFE,"New Fortress Energy Llc",10.9,-0.27,-2.42%,11.25,11.26,10.74,3044400,2025-02-24
NFLX,"Netflix Inc",988.47,-14.68,-1.46%,1008,1015.17,984.48,4426200,2025-02-24
NICE,"Nice Ltd ADR",160.99,5.6,+3.60%,155.35,162.57,154.6,1192600,2025-02-24
