Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
HTHT,"H World Group Ltd",40.83,0.57,+1.42%,40.3,41.83,40.24,1828600,2023-08-28
HTLD,"Heartland Express",14.99,-0.08,-0.53%,15,15.32,14.93,237900,2023-08-28
HTLF,"Heartland Finl USA",30.7,0.52,+1.72%,30.49,30.95,30.33,120400,2023-08-28
HTZ,"Hertz Global Holdings Inc",17.02,0.14,+0.83%,17.01,17.18,16.82,1652400,2023-08-28
HUBG,"Hub Group Inc A",80.86,0.54,+0.67%,80.54,81.45,80.43,160500,2023-08-28
HURN,"Huron Consulting",98.86,0.23,+0.23%,98.85,99.47,98.16,69000,2023-08-28
HUT,"Hut 8 Mining Corp",2.28,0.01,+0.44%,2.29,2.32,2.25,6383300,2023-08-28
HWC,"Hancock Whitney Corp",41,0.54,+1.33%,40.74,41.44,40.61,324000,2023-08-28
HYZN,"Hyzon Motors Inc",1.24,-0.01,-0.80%,1.3,1.3,1.19,441300,2023-08-28
HZNP,"Horizon Therapeutics",112.15,5.48,+5.14%,112.62,113.25,112.1,6245500,2023-08-28
IAC,"Iac Inc",54.81,0.63,+1.16%,54.28,55.28,54.23,435500,2023-08-28
IART,"Integra Lifesciences",42.3,0.71,+1.71%,41.93,42.54,41.62,724900,2023-08-28
IAS,"Integral Ad Science Holding Corp",13.65,-0.13,-0.94%,13.89,14.08,13.65,554800,2023-08-28
IBKR,"Interactive Brokers",93.32,0.7,+0.76%,92.82,94.28,92.77,665800,2023-08-28
IBOC,"Intl Bancshares",45.96,0.84,+1.86%,45.21,46.09,45.21,156600,2023-08-28
IBRX,"Immunitybio Inc",1.65,0,0.00%,1.64,1.775,1.62,2492400,2023-08-28
IBTX,"Independent Bank Group",41.81,0.66,+1.60%,41.57,42.06,40.87,99400,2023-08-28
ICFI,"Icf International",133.1,2.4,+1.84%,130.71,133.69,130.71,85100,2023-08-28
ICLR,"Icon Plc",255.3,-1.02,-0.40%,256.29,258.68,254.67,289000,2023-08-28
